Year,Prop
1044,0.1779
1044,0.178
1044,0.1781
1044,0.1782
1044,0.1783
1044,0.1784
1044,0.1785
1045,0.1786
1045,0.1787
1045,0.1788
1045,0.1789
1045,0.179
1045,0.1791
1045,0.1792
1045,0.1793
1045,0.1794
1045,0.1795
1045,0.1796
1045,0.1797
1045,0.1798
1045,0.1799
1045,0.18
1045,0.1801
1045,0.1802
1045,0.1803
1045,0.1804
1045,0.1805
1045,0.1806
1045,0.1807
1045,0.1808
1045,0.1809
1045,0.181
1045,0.1811
1045,0.1812
1045,0.1813
1045,0.1814
1045,0.1815
1045,0.1816
1045,0.1817
